,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,,
63,6,Tampa Bay Buccaneers,Philadelphia Eagles,0.804775018,0.195224982,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,
64,6,Miami Dolphins,Jacksonville Jaguars,0.278151595,0.721848405,Jacksonville Jaguars,Jacksonville Jaguars,1,
65,6,Green Bay Packers,Chicago Bears,0.961807029,0.038192971,Green Bay Packers,Green Bay Packers,1,
66,6,Minnesota Vikings,Carolina Panthers,0.724803911,0.275196089,Minnesota Vikings,Minnesota Vikings,1,
67,6,Kansas City Chiefs,Washington Football Team,0.984143562,0.015856438,Kansas City Chiefs,Kansas City Chiefs,1,
68,6,Los Angeles Chargers,Baltimore Ravens,0.076594065,0.923405935,Baltimore Ravens,Baltimore Ravens,1,
69,6,Los Angeles Rams,New York Giants,0.847604594,0.152395406,Los Angeles Rams,Los Angeles Rams,1,
70,6,Cincinnati Bengals,Detroit Lions,0.875878302,0.124121698,Cincinnati Bengals,Cincinnati Bengals,1,
71,6,Houston Texans,Indianapolis Colts,0.059560341,0.940439659,Indianapolis Colts,Indianapolis Colts,1,
72,6,Arizona Cardinals,Cleveland Browns,0.720909859,0.279090141,Arizona Cardinals,Arizona Cardinals,1,
73,6,Dallas Cowboys,New England Patriots,0.838264367,0.161735633,Dallas Cowboys,Dallas Cowboys,1,
74,6,Las Vegas Raiders,Denver Broncos,0.297948554,0.702051446,Denver Broncos,Las Vegas Raiders,0,
75,6,Seattle Seahawks,Pittsburgh Steelers,0.384317351,0.615682649,Pittsburgh Steelers,Pittsburgh Steelers,1,
76,6,Buffalo Bills,Tennessee Titans,0.696056123,0.303943877,Buffalo Bills,Tennessee Titans,0,
,,,,,,,14,12,0.857142857
