,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,,
63,6,Tampa Bay Buccaneers,Philadelphia Eagles,0.80971544,0.19028456,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,
64,6,Miami Dolphins,Jacksonville Jaguars,0.396099327,0.603900673,Jacksonville Jaguars,Jacksonville Jaguars,1,
65,6,Green Bay Packers,Chicago Bears,0.968367473,0.031632527,Green Bay Packers,Green Bay Packers,1,
66,6,Minnesota Vikings,Carolina Panthers,0.774663665,0.225336335,Minnesota Vikings,Minnesota Vikings,1,
67,6,Kansas City Chiefs,Washington Football Team,0.983089085,0.016910915,Kansas City Chiefs,Kansas City Chiefs,1,
68,6,Los Angeles Chargers,Baltimore Ravens,0.091796828,0.908203172,Baltimore Ravens,Baltimore Ravens,1,
69,6,Los Angeles Rams,New York Giants,0.816297757,0.183702243,Los Angeles Rams,Los Angeles Rams,1,
70,6,Cincinnati Bengals,Detroit Lions,0.82095071,0.17904929,Cincinnati Bengals,Cincinnati Bengals,1,
71,6,Houston Texans,Indianapolis Colts,0.088006697,0.911993303,Indianapolis Colts,Indianapolis Colts,1,
72,6,Arizona Cardinals,Cleveland Browns,0.686318998,0.313681002,Arizona Cardinals,Arizona Cardinals,1,
73,6,Dallas Cowboys,New England Patriots,0.780621765,0.219378235,Dallas Cowboys,Dallas Cowboys,1,
74,6,Las Vegas Raiders,Denver Broncos,0.202563979,0.797436021,Denver Broncos,Las Vegas Raiders,0,
75,6,Seattle Seahawks,Pittsburgh Steelers,0.383866219,0.616133781,Pittsburgh Steelers,Pittsburgh Steelers,1,
76,6,Buffalo Bills,Tennessee Titans,0.679742092,0.320257908,Buffalo Bills,Tennessee Titans,0,
,,,,,,,14,12,0.857142857
