,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winners,"Right_wrong(1,0)",
77,7,Denver Broncos,Cleveland Browns,0.475251935,0.524748065,Cleveland Browns,Cleveland Browns,1,
78,7,Washington Football Team,Green Bay Packers,0.021638418,0.978361582,Green Bay Packers,Green Bay Packers,1,
79,7,Cincinnati Bengals,Baltimore Ravens,0.186852423,0.813147577,Baltimore Ravens,Cincinnati Bengals,0,
80,7,Kansas City Chiefs,Tennessee Titans,0.593190435,0.406809565,Kansas City Chiefs,Tennessee Titans,0,
81,7,Carolina Panthers,New York Giants,0.353296403,0.646703597,New York Giants,New York Giants,1,
82,7,New York Jets,New England Patriots,0.227081359,0.772918641,New England Patriots,New England Patriots,1,
83,7,Atlanta Falcons,Miami Dolphins,0.651810128,0.348189872,Atlanta Falcons,Atlanta Falcons,1,
84,7,Detroit Lions,Los Angeles Rams,0.035173317,0.964826683,Los Angeles Rams,Los Angeles Rams,1,
85,7,Philadelphia Eagles,Las Vegas Raiders,0.359969341,0.640030659,Las Vegas Raiders,Las Vegas Raiders,1,
86,7,Houston Texans,Arizona Cardinals,0.011559237,0.988440763,Arizona Cardinals,Arizona Cardinals,1,
87,7,Chicago Bears,Tampa Bay Buccaneers,0.060157485,0.939842515,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,
88,7,Indianapolis Colts,San Francisco 49ers,0.796306047,0.203693953,Indianapolis Colts,Indianapolis Colts,1,
89,7,New Orleans Saints,Seattle Seahawks,0.635019972,0.364980028,New Orleans Saints,New Orleans Saints,1,
,,,,,,,13,11,0.846153846
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
