,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winners,"Right_wrong(1,0)",,,
77,7,Denver Broncos,Cleveland Browns,0.498224066,0.501775934,Cleveland Browns,Cleveland Browns,1,,,
78,7,Washington Football Team,Green Bay Packers,0.024719554,0.975280446,Green Bay Packers,Green Bay Packers,1,,,
79,7,Cincinnati Bengals,Baltimore Ravens,0.232880386,0.767119614,Baltimore Ravens,Cincinnati Bengals,0,,,
80,7,Kansas City Chiefs,Tennessee Titans,0.600541297,0.399458703,Kansas City Chiefs,Tennessee Titans,0,,,
81,7,Carolina Panthers,New York Giants,0.355310765,0.644689235,New York Giants,New York Giants,1,,,
82,7,New York Jets,New England Patriots,0.181405287,0.818594713,New England Patriots,New England Patriots,1,,,
83,7,Atlanta Falcons,Miami Dolphins,0.607200264,0.392799736,Atlanta Falcons,Atlanta Falcons,1,,,
84,7,Detroit Lions,Los Angeles Rams,0.049646518,0.950353482,Los Angeles Rams,Los Angeles Rams,1,,,
85,7,Philadelphia Eagles,Las Vegas Raiders,0.410180312,0.589819688,Las Vegas Raiders,Las Vegas Raiders,1,,,
86,7,Houston Texans,Arizona Cardinals,0.022939679,0.977060321,Arizona Cardinals,Arizona Cardinals,1,,,
87,7,Chicago Bears,Tampa Bay Buccaneers,0.064458319,0.935541681,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,,,
88,7,Indianapolis Colts,San Francisco 49ers,0.794190367,0.205809633,Indianapolis Colts,Indianapolis Colts,1,,,
89,7,New Orleans Saints,Seattle Seahawks,0.668590445,0.331409555,New Orleans Saints,New Orleans Saints,1,,,
,,,,,,,13,11,0.846153846,,
