week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,Accuracy
13,Arizona Cardinals,Chicago Bears,0.9986934,0.0013065934,Arizona Cardinals,Arizona Cardinals,1
13,Baltimore Ravens,Pittsburgh Steelers,0.97693497,0.02306503,Baltimore Ravens,Pittsburgh Steelers,0
13,Dallas Cowboys,New Orleans Saints,0.9999722,2.7775764e-05,Dallas Cowboys,Dallas Cowboys,1
13,Denver Broncos,Kansas City Chiefs,0.9893279,0.010672092,Denver Broncos,Kansas City Chiefs,0
13,Indianapolis Colts,Houston Texans,0.13697797,0.863022,Houston Texans,Indianapolis Colts,0
13,Jacksonville Jaguars,Los Angeles Rams,0.95714605,0.04285395,Jacksonville Jaguars,Los Angeles Rams,0
13,Los Angeles Chargers,Cincinnati Bengals,0.20490772,0.7950923,Cincinnati Bengals,Los Angeles Chargers,0
13,Minnesota Vikings,Detroit Lions,0.99072474,0.009275258,Minnesota Vikings,Detroit Lions,0
13,New York Giants,Miami Dolphins,0.13697797,0.863022,Miami Dolphins,Miami Dolphins,1
13,Philadelphia Eagles,New York Jets,0.23098731,0.7690127,New York Jets,Philadelphia Eagles,0
13,San Francisco 49ers,Seattle Seahawks,0.9627254,0.0372746,San Francisco 49ers,Seattle Seahawks,0
13,Tampa Bay Buccaneers,Atlanta Falcons,0.99745923,0.0025407672,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1
13,Washington Football Team,Las Vegas Raiders,0.13697797,0.863022,Las Vegas Raiders,Washington Football Team,0
