,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,Accuracy,"American Odds (Away Team, Home Team)","Fractional Odds (Away Team, Home Team)","Decimal Odds (Away Team, Home Team)"
0,13,Arizona Cardinals,Chicago Bears,0.89552605,0.10447395,Arizona Cardinals,Arizona Cardinals,1,"(-857.0, 857.0)","(Fraction(1, 8), Fraction(9, 1))","(1.12, 9.57)"
1,13,Baltimore Ravens,Pittsburgh Steelers,0.92709106,0.07290894,Baltimore Ravens,Pittsburgh Steelers,0,"(-1272.0, 1272.0)","(Fraction(1, 16), Fraction(13, 1))","(1.08, 13.72)"
2,13,Dallas Cowboys,New Orleans Saints,0.96013045,0.039869547,Dallas Cowboys,Dallas Cowboys,1,"(-2408.0, 2408.0)","(Fraction(1, 16), Fraction(24, 1))","(1.04, 25.08)"
3,13,Denver Broncos,Kansas City Chiefs,0.0065598786,0.99344015,Kansas City Chiefs,Kansas City Chiefs,1,"(15144.0, -15144.0)","(Fraction(151, 1), Fraction(0, 1))","(152.44, 1.01)"
4,13,Indianapolis Colts,Houston Texans,0.82601637,0.17398363,Indianapolis Colts,Indianapolis Colts,1,"(-475.0, 475.0)","(Fraction(3, 16), Fraction(5, 1))","(1.21, 5.75)"
5,13,Jacksonville Jaguars,Los Angeles Rams,0.06406483,0.93593514,Los Angeles Rams,Los Angeles Rams,1,"(1461.0, -1461.0)","(Fraction(15, 1), Fraction(1, 16))","(15.61, 1.07)"
6,13,Los Angeles Chargers,Cincinnati Bengals,0.15905163,0.84094834,Cincinnati Bengals,Los Angeles Chargers,0,"(529.0, -529.0)","(Fraction(5, 1), Fraction(3, 16))","(6.29, 1.19)"
7,13,Minnesota Vikings,Detroit Lions,0.31679475,0.68320525,Detroit Lions,Detroit Lions,1,"(216.0, -216.0)","(Fraction(2, 1), Fraction(7, 16))","(3.16, 1.46)"
8,13,New England Patriots,Buffalo Bills,0.9990735,0.0009264946,New England Patriots,New England Patriots,1,"(-107833.0, 107834.0)","(Fraction(0, 1), Fraction(1078, 1))","(1.0, 1079.34)"
9,13,New York Giants,Miami Dolphins,0.048816532,0.95118344,Miami Dolphins,Miami Dolphins,1,"(1948.0, -1948.0)","(Fraction(19, 1), Fraction(1, 16))","(20.48, 1.05)"
10,13,Philadelphia Eagles,New York Jets,0.2356225,0.7643775,New York Jets,Philadelphia Eagles,0,"(324.0, -324.0)","(Fraction(3, 1), Fraction(5, 16))","(4.24, 1.31)"
11,13,San Francisco 49ers,Seattle Seahawks,0.9233395,0.076660514,San Francisco 49ers,Seattle Seahawks,0,"(-1204.0, 1204.0)","(Fraction(1, 16), Fraction(12, 1))","(1.08, 13.04)"
12,13,Tampa Bay Buccaneers,Atlanta Falcons,0.8069068,0.19309318,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,"(-418.0, 418.0)","(Fraction(1, 4), Fraction(4, 1))","(1.24, 5.18)"
13,13,Washington Football Team,Las Vegas Raiders,0.55202955,0.44797045,Washington Football Team,Washington Football Team,1,"(-123.0, 123.0)","(Fraction(13, 16), Fraction(1, 1))","(1.81, 2.23)"
