"WEEK 8, 2021",Matchup,Model Prediction,Caesars Sportsbook,Actual Winner,Beat Vegas? ,,"WEEK 8, 2021",Matchup,Model Prediction,Caesars Sportsbook,Actual Winner,Beat Vegas? 
,Buffalo Bills,-2254691,-1100,x,TIE,,,Seattle Seahawks,168,-200,x,LOSS
,Miami Dolphins,2254288,700,,,,,Jacksonville Jaguars,-168,170,,
,,,,,,,,,,,,
,Atlanta Falcons,-4106,-125,,,,,Los Angeles Chargers,386,-200,,
,Carolina Panthers,4106,105,x,TIE,,,New England Patriots,-386,170,x,WIN
,,,,,,,,,,,,
,Detroit Lions,386,145,,,,,Denver Broncos,-245,-200,x,TIE
,Philadelphia Eagles,-386,-170,x,TIE,,,Washington Football Team,245,170,,
,,,,,,,,,,,,
,Indianapolis Colts,386,-160,,,,,New Orleans Saints,223,170,x,TIE
,Tennessee Titans,-386,140,x,WIN,,,Tampa Bay Buccaneers,-223,-200,,
,,,,,,,,,,,,
,Houston Texans,386,800,,,,,Dallas Cowboys,1731202,175,x,TIE
,Los Angeles Rams,-386,-1400,x,TIE,,,Minnesota Vikings,-1731202,-210,,
,,,,,,,,,,,,
,New York Jets,-658,425,x,WIN,,,New York Giants,250841,425,,
,Cincinnati Bengals,658,-600,,,,,Kansas City Chiefs,-250841,-600,x,TIE
,,,,,,,,,,,,
,Cleveland Browns,-427891,-230,,,,,Arizona Cardinals,-315,-280,,
,Pittsburgh Steelers,427890,190,x,TIE,,,Green Bay Packers,315,230,x,TIE
,,,,,,,,,,,,
,Chicago Bears,134,180,,,,,,,,,
,San Francisco 49ers,-134,-220,x,TIE,,,,,,,
