,away_name,away_abbr,home_name,home_abbr,winning_name,winning_abbr,week
0,Dallas Cowboys,dal,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,1
1,Pittsburgh Steelers,pit,Buffalo Bills,buf,Pittsburgh Steelers,pit,1
2,Philadelphia Eagles,phi,Atlanta Falcons,atl,Philadelphia Eagles,phi,1
3,Los Angeles Chargers,sdg,Washington Football Team,was,Los Angeles Chargers,sdg,1
4,Arizona Cardinals,crd,Tennessee Titans,oti,Arizona Cardinals,crd,1
5,Jacksonville Jaguars,jax,Houston Texans,htx,Houston Texans,htx,1
6,San Francisco 49ers,sfo,Detroit Lions,det,San Francisco 49ers,sfo,1
7,Seattle Seahawks,sea,Indianapolis Colts,clt,Seattle Seahawks,sea,1
8,Minnesota Vikings,min,Cincinnati Bengals,cin,Cincinnati Bengals,cin,1
9,New York Jets,nyj,Carolina Panthers,car,Carolina Panthers,car,1
10,Denver Broncos,den,New York Giants,nyg,Denver Broncos,den,1
11,Miami Dolphins,mia,New England Patriots,nwe,Miami Dolphins,mia,1
12,Green Bay Packers,gnb,New Orleans Saints,nor,New Orleans Saints,nor,1
13,Cleveland Browns,cle,Kansas City Chiefs,kan,Kansas City Chiefs,kan,1
14,Chicago Bears,chi,Los Angeles Rams,ram,Los Angeles Rams,ram,1
15,Baltimore Ravens,rav,Las Vegas Raiders,rai,Las Vegas Raiders,rai,1
16,New York Giants,nyg,Washington Football Team,was,Washington Football Team,was,2
17,Cincinnati Bengals,cin,Chicago Bears,chi,Chicago Bears,chi,2
18,New Orleans Saints,nor,Carolina Panthers,car,Carolina Panthers,car,2
19,Las Vegas Raiders,rai,Pittsburgh Steelers,pit,Las Vegas Raiders,rai,2
20,San Francisco 49ers,sfo,Philadelphia Eagles,phi,San Francisco 49ers,sfo,2
21,New England Patriots,nwe,New York Jets,nyj,New England Patriots,nwe,2
22,Buffalo Bills,buf,Miami Dolphins,mia,Buffalo Bills,buf,2
23,Denver Broncos,den,Jacksonville Jaguars,jax,Denver Broncos,den,2
24,Los Angeles Rams,ram,Indianapolis Colts,clt,Los Angeles Rams,ram,2
25,Houston Texans,htx,Cleveland Browns,cle,Cleveland Browns,cle,2
26,Atlanta Falcons,atl,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,2
27,Minnesota Vikings,min,Arizona Cardinals,crd,Arizona Cardinals,crd,2
28,Tennessee Titans,oti,Seattle Seahawks,sea,Tennessee Titans,oti,2
