,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,,
47,5,Los Angeles Rams,Seattle Seahawks,0.503475314,0.496524686,Los Angeles Rams,Los Angeles Rams,1,
48,5,New York Jets,Atlanta Falcons,0.568206172,0.431793828,New York Jets,Atlanta Falcons,0,
49,5,Philadelphia Eagles,Carolina Panthers,0.615126311,0.384873689,Philadelphia Eagles,Philadelphia Eagles,1,
50,5,New Orleans Saints,Washington Football Team,0.794684886,0.205315114,New Orleans Saints,New Orleans Saints,1,
51,5,Miami Dolphins,Tampa Bay Buccaneers,0.1150795,0.8849205,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,
52,5,Denver Broncos,Pittsburgh Steelers,0.59281474,0.40718526,Denver Broncos,Pittsburgh Steelers,0,
53,5,Detroit Lions,Minnesota Vikings,0.238667478,0.761332522,Minnesota Vikings,Minnesota Vikings,1,
54,5,Tennessee Titans,Jacksonville Jaguars,0.830126915,0.169873085,Tennessee Titans,Tennessee Titans,1,
55,5,New England Patriots,Houston Texans,0.959503306,0.040496694,New England Patriots,New England Patriots,1,
56,5,Green Bay Packers,Cincinnati Bengals,0.59295332,0.40704668,Green Bay Packers,Green Bay Packers,1,
57,5,Cleveland Browns,Los Angeles Chargers,0.764776931,0.235223069,Cleveland Browns,Los Angeles Chargers,0,
58,5,Chicago Bears,Las Vegas Raiders,0.372760562,0.627239438,Las Vegas Raiders,Chicago Bears,0,
59,5,New York Giants,Dallas Cowboys,0.175138119,0.824861881,Dallas Cowboys,Dallas Cowboys,1,
60,5,San Francisco 49ers,Arizona Cardinals,0.01333396,0.98666604,Arizona Cardinals,Arizona Cardinals,1,
61,5,Buffalo Bills,Kansas City Chiefs,0.387386932,0.612613068,Kansas City Chiefs,Buffalo Bills,0,
62,5,Indianapolis Colts,Baltimore Ravens,0.046899577,0.953100423,Baltimore Ravens,Baltimore Ravens,1,
,,,,,,,16,11,0.6875
