,week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,,
47,5,Los Angeles Rams,Seattle Seahawks,0.542913247,0.457086753,Los Angeles Rams,Los Angeles Rams,1,
48,5,New York Jets,Atlanta Falcons,0.465931233,0.534068767,Atlanta Falcons,Atlanta Falcons,1,
49,5,Philadelphia Eagles,Carolina Panthers,0.661526603,0.338473397,Philadelphia Eagles,Philadelphia Eagles,1,
50,5,New Orleans Saints,Washington Football Team,0.786440616,0.213559384,New Orleans Saints,New Orleans Saints,1,
51,5,Miami Dolphins,Tampa Bay Buccaneers,0.164268089,0.835731911,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1,
52,5,Denver Broncos,Pittsburgh Steelers,0.697257962,0.302742038,Denver Broncos,Pittsburgh Steelers,0,
53,5,Detroit Lions,Minnesota Vikings,0.308247113,0.691752887,Minnesota Vikings,Minnesota Vikings,1,
54,5,Tennessee Titans,Jacksonville Jaguars,0.851415298,0.148584702,Tennessee Titans,Tennessee Titans,1,
55,5,New England Patriots,Houston Texans,0.948604925,0.051395075,New England Patriots,New England Patriots,1,
56,5,Green Bay Packers,Cincinnati Bengals,0.605021804,0.394978196,Green Bay Packers,Green Bay Packers,1,
57,5,Cleveland Browns,Los Angeles Chargers,0.750278096,0.249721904,Cleveland Browns,Los Angeles Chargers,0,
58,5,Chicago Bears,Las Vegas Raiders,0.343159399,0.656840601,Las Vegas Raiders,Chicago Bears,0,
59,5,New York Giants,Dallas Cowboys,0.302672274,0.697327726,Dallas Cowboys,Dallas Cowboys,1,
60,5,San Francisco 49ers,Arizona Cardinals,0.03219069,0.96780931,Arizona Cardinals,Arizona Cardinals,1,
61,5,Buffalo Bills,Kansas City Chiefs,0.365701949,0.634298051,Kansas City Chiefs,Buffalo Bills,0,
62,5,Indianapolis Colts,Baltimore Ravens,0.059940254,0.940059746,Baltimore Ravens,Baltimore Ravens,1,
,,,,,,,16,12,0.75
