week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner
6,Arizona Cardinals,Cleveland Browns,0.6859031518343605,0.31409684816563954,Arizona Cardinals,Arizona Cardinals
6,Buffalo Bills,Tennessee Titans,0.6797915158238482,0.3202084841761518,Buffalo Bills,Tennessee Titans
6,Cincinnati Bengals,Detroit Lions,0.8206654058472497,0.17933459415275033,Cincinnati Bengals,Cincinnati Bengals
6,Dallas Cowboys,New England Patriots,0.7805254811792867,0.21947451882071334,Dallas Cowboys,Dallas Cowboys
6,Green Bay Packers,Chicago Bears,0.9682731534415788,0.03172684655842117,Green Bay Packers,Green Bay Packers
6,Houston Texans,Indianapolis Colts,0.08796523458471571,0.9120347654152843,Indianapolis Colts,Indianapolis Colts
6,Kansas City Chiefs,Washington Football Team,0.9830807392887321,0.016919260711267925,Kansas City Chiefs,Kansas City Chiefs
6,Las Vegas Raiders,Denver Broncos,0.20240316009392356,0.7975968399060764,Denver Broncos,Las Vegas Raiders
6,Los Angeles Chargers,Baltimore Ravens,0.09200008918126926,0.9079999108187308,Baltimore Ravens,Baltimore Ravens
6,Los Angeles Rams,New York Giants,0.8161272986452933,0.18387270135470668,Los Angeles Rams,Los Angeles Rams
6,Miami Dolphins,Jacksonville Jaguars,0.3961866216422669,0.6038133783577331,Jacksonville Jaguars,Jacksonville Jaguars
6,Minnesota Vikings,Carolina Panthers,0.7744998565219227,0.22550014347807734,Minnesota Vikings,Minnesota Vikings
6,Seattle Seahawks,Pittsburgh Steelers,0.3836127912543205,0.6163872087456794,Pittsburgh Steelers,Pittsburgh Steelers
6,Tampa Bay Buccaneers,Philadelphia Eagles,0.8095092241597563,0.19049077584024365,Tampa Bay Buccaneers,Tampa Bay Buccaneers
