away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,elo_dif
Minnesota Vikings,min,New Orleans Saints,nor,16,-0.285714286,1.142857143,-0.5,0.5,7.428571429,-1.928571429,-2.357142857,0.285714286,10.28571429,-1.071428571,-2.642857143,0.071428571,-0.428571429,15.92857143,-107.2857143,0.5,23.35714286,0.571428571,-24.35714286,2.857142857,-0.116541353,-0.021859595,0,-178.963705
Tampa Bay Buccaneers,tam,Detroit Lions,det,16,0.285714286,-0.785714286,0,0,3.928571429,1.642857143,1.428571429,0.571428571,-4.714285714,-0.285714286,4.714285714,-0.642857143,-0.071428571,1.214285714,9.928571429,-1.285714286,5.142857143,-0.071428571,-4.642857143,-8.642857143,0.083333333,0.00499316,1,238.516153
San Francisco 49ers,sfo,Arizona Cardinals,crd,16,-0.214285714,-2.5,-0.071428571,0.428571429,7.142857143,0.928571429,-0.285714286,-0.357142857,14.42857143,-1.714285714,-4.142857143,-3.642857143,-0.214285714,-35.21428571,135,0.785714286,-28.07142857,0.785714286,-9.357142857,7.285714286,-0.327067669,-0.019235165,1,-58.793097
Miami Dolphins,mia,Las Vegas Raiders,rai,16,0.142857143,-1,-0.428571429,0.142857143,-31.78571429,-1,-1.142857143,-0.285714286,-29.14285714,-0.928571429,-1.785714286,-1.928571429,-0.285714286,-15.57142857,-37,0.571428571,-47.35714286,-0.357142857,-11.85714286,2.642857143,0.068627451,-0.086804294,1,101.109481
New York Giants,nyg,Baltimore Ravens,rav,16,-0.285714286,-1.928571429,-0.428571429,0,11.78571429,6.428571429,3.642857143,-0.928571429,17.14285714,-1.285714286,-11.35714286,-7.285714286,-0.642857143,-59.21428571,-91.85714286,0.714285714,-47.42857143,0.285714286,-20.92857143,5.357142857,0.037151703,-0.065835365,0,-255.776182
Indianapolis Colts,clt,Pittsburgh Steelers,pit,16,-0.071428571,3,-1.071428571,-0.071428571,20.64285714,-5.142857143,-2.5,-0.571428571,20.07142857,0.785714286,2.357142857,3.928571429,0.357142857,25.14285714,-25.85714286,0.285714286,45.78571429,-0.357142857,12.42857143,-0.571428571,0.14,-0.018493229,0,38.596584
Cleveland Browns,cle,New York Jets,nyj,16,0.642857143,5.785714286,0.857142857,-0.285714286,54.57142857,-0.785714286,1.285714286,1,42.07142857,-0.071428571,11.57142857,7.071428571,0.642857143,49.71428571,227.0714286,-1.428571429,104.2857143,-0.214285714,-4.571428571,-12.5,0.028011204,0.11262549,0,241.029053
Atlanta Falcons,atl,Kansas City Chiefs,kan,16,-0.642857143,-2.714285714,-0.571428571,0.428571429,-37.92857143,-0.285714286,-1.5,-0.928571429,-32.42857143,-1.571428571,-5.714285714,-0.357142857,0,-22.57142857,-49.78571429,0.928571429,-60.5,0.142857143,-11.85714286,5.5,-0.050167224,-0.057602862,0,-285.037103
Chicago Bears,chi,Jacksonville Jaguars,jax,16,0.428571429,0.571428571,0.071428571,0,-8.714285714,-0.071428571,0.571428571,0.214285714,-5.357142857,-0.785714286,2.857142857,1.785714286,-0.071428571,1.5,114.5,-0.214285714,-7.214285714,-0.214285714,-12.92857143,3.357142857,0.208333333,-0.079650437,1,227.302318
Cincinnati Bengals,cin,Houston Texans,htx,16,-0.054945055,0.285714286,0.214285714,0.214285714,-59,3.5,0.5,-0.714285714,-54.28571429,0.5,-3.142857143,3.5,0.214285714,10.57142857,251.6428571,0.214285714,-48.42857143,0.428571429,5.857142857,4.714285714,0.186666667,-0.063740412,1,-81.564347
Carolina Panthers,car,Washington Football Team,was,16,-0.142857143,0.928571429,-0.785714286,-0.142857143,30.92857143,-2.642857143,-0.357142857,0.142857143,22.71428571,1,1.5,-0.142857143,-0.071428571,8.357142857,33,-1.071428571,39.28571429,-0.5,6.928571429,-8.214285714,-0.075,0.018893387,1,-80.144435
Denver Broncos,den,Los Angeles Chargers,sdg,16,0,-4.785714286,0.5,0.785714286,-68.35714286,-6.785714286,-7.285714286,-0.571428571,-65.92857143,-0.285714286,-3.642857143,-2.071428571,0.071428571,7.357142857,-225.1428571,-0.071428571,-61,1,-3.142857143,2.428571429,-0.311594203,-0.073770268,0,26.671581
Los Angeles Rams,ram,Seattle Seahawks,sea,16,-0.071428571,-0.642857143,0.214285714,-0.071428571,-0.714285714,1,-0.142857143,-1.214285714,-8.642857143,-1,-4.857142857,3.857142857,0.428571429,2.5,62,-1.5,1.785714286,0.285714286,-1.714285714,-7.928571429,-0.038461538,0.032291667,0,-4.964735
Los Angeles Rams,ram,Seattle Seahawks,sea,16,-0.071428571,-0.642857143,0.214285714,-0.071428571,-0.714285714,1,-0.142857143,-1.214285714,-8.642857143,-1,-4.857142857,3.857142857,0.428571429,2.5,62,-1.5,1.785714286,0.285714286,-1.714285714,-7.928571429,-0.038461538,0.032291667,0,-40.911725
Philadelphia Eagles,phi,Dallas Cowboys,dal,16,-0.049450549,-1.928571429,0.5,0.357142857,-49.78571429,-2.571428571,-4.428571429,-0.071428571,-44.5,0.285714286,-2.571428571,-1.714285714,0.071428571,16.35714286,81.64285714,1.642857143,-33.42857143,-0.071428571,-1.5,5.285714286,-0.113978495,-0.035035035,0,18.185917
Tennessee Titans,oti,Green Bay Packers,gnb,16,-0.071428571,1.714285714,0.214285714,0.071428571,-22.14285714,-3.214285714,-3.214285714,-0.642857143,-24.21428571,-0.214285714,0.142857143,4.714285714,0.571428571,31.5,-236.4285714,0.142857143,9.357142857,0,4.571428571,-2.071428571,0.082706767,-0.043704122,0,-45.157679
Buffalo Bills,buf,New England Patriots,nwe,16,0.357142857,3.142857143,0,-0.357142857,93.07142857,9.285714286,7.428571429,1.714285714,90.64285714,3.142857143,8.428571429,-6.714285714,-0.428571429,-37.14285714,104.7142857,-0.357142857,55.92857143,0.071428571,31.14285714,-2.428571429,0.18487395,0.101683502,1,135.490598
