week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner
13,Arizona Cardinals,Chicago Bears,1.0,0.0,Arizona Cardinals,
13,Baltimore Ravens,Pittsburgh Steelers,1.0,0.0,Baltimore Ravens,
13,Dallas Cowboys,New Orleans Saints,1.0,0.0,Dallas Cowboys,Dallas Cowboys
13,Denver Broncos,Kansas City Chiefs,0.0,1.0,Kansas City Chiefs,
13,Indianapolis Colts,Houston Texans,1.0,0.0,Indianapolis Colts,
13,Jacksonville Jaguars,Los Angeles Rams,0.0,1.0,Los Angeles Rams,
13,Los Angeles Chargers,Cincinnati Bengals,1.0,0.0,Los Angeles Chargers,
13,Minnesota Vikings,Detroit Lions,1.0,0.0,Minnesota Vikings,
13,New England Patriots,Buffalo Bills,0.0,1.0,Buffalo Bills,
13,New York Giants,Miami Dolphins,0.0,1.0,Miami Dolphins,
13,Philadelphia Eagles,New York Jets,0.0,1.0,New York Jets,
13,San Francisco 49ers,Seattle Seahawks,1.0,0.0,San Francisco 49ers,
13,Tampa Bay Buccaneers,Atlanta Falcons,1.0,0.0,Tampa Bay Buccaneers,
13,Washington Football Team,Las Vegas Raiders,1.0,0.0,Washington Football Team,
