,week,Logistic Regression Accuracy - Unscaled,Logistic Regeression Accuracy - Scaled,Log Reg - Unscaled - drop 40% to 60%,Log Reg - Scaled - drop 40% to 60%,Tensorflow Accuracy - Unscaled,Random Forest Accuracy,Random Forest - drop 40% - 60%
3,3,0.6,0.5333333333333333,0.5714285714285714,0.625,0.46666666865348816,0.6,0.75
4,4,0.625,0.6875,0.6666666666666666,0.6923076923076923,0.5,0.625,0.6666666666666666
5,5,0.5,0.625,0.4666666666666667,0.6666666666666666,0.6875,0.625,0.8
6,6,0.8571428571428571,0.8571428571428571,0.8461538461538461,0.9090909090909091,0.7857142686843872,0.7857142857142857,0.8333333333333334
7,7,0.7692307692307693,0.7692307692307693,0.75,0.8,0.692307710647583,0.8461538461538461,0.8
8,8,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0.6666666865348816,0.6,0.5833333333333334
9,9,0.6428571428571429,0.7142857142857143,0.6,0.6363636363636364,0.7142857313156128,0.6428571428571429,0.6
10,10,0.5,0.5,0.5,0.5384615384615384,0.7142857313156128,0.5,0.5555555555555556
11,11,0.6666666666666666,0.6,0.7777777777777778,0.7777777777777778,0.6000000238418579,0.8,0.7
12,12,0.7333333333333333,0.6,0.8,0.7142857142857143,0.46666666865348816,0.4666666666666667,0.6363636363636364
13,13,0.5714285714285714,0.5714285714285714,0.6,0.6,0.5714285969734192,0.7142857142857143,0.7777777777777778
